,0
age,0.004360337
studytimeweekly,0.0047574383
absences,0.0047786576
gpa,0.9244975
gender_Female,3.6883303e-05
gender_Male,0.0
ethnicity_AfricanAmerican,0.0
ethnicity_Asian,0.0
ethnicity_Caucasian,0.0046876124
ethnicity_Other,0.0
parentaleducation_Bachelors,0.0
parentaleducation_HighSchool,0.004417813
parentaleducation_HigherStudy,0.010990063
parentaleducation_None,0.0062447847
parentaleducation_SomeCollege,0.0109684225
tutoring_0,0.008323366
tutoring_1,0.0
parentalsupport_0,0.0
parentalsupport_1,0.0
parentalsupport_2,0.0023355705
parentalsupport_3,0.0029386256
parentalsupport_4,0.0
extracurricular_0,0.0
extracurricular_1,0.0
sports_0,0.008680495
sports_1,0.0
music_0,0.0019824004
music_1,0.0
volunteering_0,0.0
volunteering_1,0.0
